BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
KAZHAKUTTAM,Vegetables,2024-05-01T11:00:00.863,Cowpea (Vegetable),TRIVANDRUM,1045461,The seeds are either broadcasted or dibbled in the soil. Dibble two seeds per hole. In trailing type ensure three good plants per pit.,Asked about field preparation in cowpea,Field Preparation,NA,HORTICULTURE,KERALA,1,5,2024
KAZHAKUTTAM,Others,2024-05-01T11:58:45.053,Others,TRIVANDRUM,1045458,Irrelevant call,Irrelevant call,Government Schemes,NA,AGRICULTURE,KERALA,1,5,2024
KAZHAKUTTAM,Others,2024-05-01T12:00:17.16,Others,TRIVANDRUM,1045457,"Suggested Weather forecast for Kazhakoottam- There is no chances for rainfall today and in the next three days but partly cloudy weather will remain for today and tomorrow. Today's expected maximum temperature is  37°C and minimum temperature of 29°C and wind speed is likely to run at  19 kilometres per hour. 

",Farmer asked query on Weather,Weather,NA,AGRICULTURE,KERALA,1,5,2024
0   ,Others,2024-05-02T15:39:00.55,Others,TRIVANDRUM,1051279,Kindly call 18001801551 if have any queries related to agriculture.,Blank call,Training and Exposure Visits,NA,AGRICULTURE,KERALA,2,5,2024
PARASSALA,Vegetables,2024-05-02T19:34:45.167,Bhindi(Okra/Ladysfinger),TRIVANDRUM,1052740,Suggested to spray calcium nitrate 2g and Borax 1g in 1L Water.,Asked about the management of colour change in growing points of younger leaves,Nutrient Management,NA,HORTICULTURE,KERALA,2,5,2024
KILIMANOOR,Others,2024-05-03T12:31:13.993,Others,TRIVANDRUM,1055082,Test call,Test call,Training and Exposure Visits,NA,AGRICULTURE,KERALA,3,5,2024
0   ,Others,2024-05-03T15:57:13.877,Others,TRIVANDRUM,1055148,--Kindly call 18001801551 if you have any queries related to agriculture.,"
AIF survey
",Government Schemes,NA,AGRICULTURE,KERALA,3,5,2024
0   ,Others,2024-05-03T16:03:43.187,Others,TRIVANDRUM,1055151,--Kindly call 18001801551 if you have any queries related to agriculture.,AIF survey,Government Schemes,NA,AGRICULTURE,KERALA,3,5,2024
0   ,Others,2024-05-03T19:22:50.783,Others,TRIVANDRUM,1058897,--Kindly call 18001801551 if you have any queries related to agriculture.,AIF survey,Government Schemes,NA,AGRICULTURE,KERALA,3,5,2024
KAZHAKUTTAM,Others,2024-05-04T10:09:53.723,Others,TRIVANDRUM,1061800,Suggested to call back for checking PM Kisan beneficiary status.,Asked to check beneficiary status of PM Kisan,Government Schemes,NA,AGRICULTURE,KERALA,4,5,2024
