case_id,duration_days,n_events,crop,state
ALAPPUZHA_Amaranthus/Grain Amaranthus,317,3,Amaranthus/Grain Amaranthus,KERALA
ALAPPUZHA_Arecanut,128,2,Arecanut,KERALA
ALAPPUZHA_Avacado,0,1,Avacado,KERALA
ALAPPUZHA_BAJRA NAPIER HYBRID,0,1,BAJRA NAPIER HYBRID,KERALA
ALAPPUZHA_Banana,354,31,Banana,KERALA
ALAPPUZHA_Betel Vine,0,1,Betel Vine,KERALA
ALAPPUZHA_Bhindi(Okra/Ladysfinger),222,9,Bhindi(Okra/Ladysfinger),KERALA
ALAPPUZHA_Bitter Gourd,304,6,Bitter Gourd,KERALA
ALAPPUZHA_Bottle Gourd,0,1,Bottle Gourd,KERALA
ALAPPUZHA_Brinjal,364,14,Brinjal,KERALA
ALAPPUZHA_Cabbage,4,2,Cabbage,KERALA
ALAPPUZHA_Capsicum,0,1,Capsicum,KERALA
ALAPPUZHA_Cauliflower,0,1,Cauliflower,KERALA
ALAPPUZHA_Chillies,290,18,Chillies,KERALA
ALAPPUZHA_China Astor,0,1,China Astor,KERALA
ALAPPUZHA_Coconut,342,46,Coconut,KERALA
"ALAPPUZHA_Colocasia (Arvi, Arbi)",144,4,"Colocasia (Arvi, Arbi)",KERALA
ALAPPUZHA_Cowpea (Vegetable),203,7,Cowpea (Vegetable),KERALA
ALAPPUZHA_Crossandra,0,1,Crossandra,KERALA
ALAPPUZHA_Cucumber,234,2,Cucumber,KERALA
ALAPPUZHA_Curry Leaf,211,5,Curry Leaf,KERALA
ALAPPUZHA_Custard Apple,0,1,Custard Apple,KERALA
ALAPPUZHA_Drum Stick,0,1,Drum Stick,KERALA
ALAPPUZHA_Fresh Water,0,2,Fresh Water,KERALA
ALAPPUZHA_Ginger,147,4,Ginger,KERALA
ALAPPUZHA_Grape,2,2,Grape,KERALA
ALAPPUZHA_Groundnut (pea nut/mung phalli),0,1,Groundnut (pea nut/mung phalli),KERALA
ALAPPUZHA_Guava,164,8,Guava,KERALA
ALAPPUZHA_Ivy Gourd,209,2,Ivy Gourd,KERALA
ALAPPUZHA_Jack Fruit,341,10,Jack Fruit,KERALA
ALAPPUZHA_Jamun,0,1,Jamun,KERALA
ALAPPUZHA_Jasmine,0,1,Jasmine,KERALA
ALAPPUZHA_Kokum,241,4,Kokum,KERALA
ALAPPUZHA_Mango,275,8,Mango,KERALA
ALAPPUZHA_Neem,0,1,Neem,KERALA
ALAPPUZHA_Nutmeg,0,1,Nutmeg,KERALA
ALAPPUZHA_Paddy (Dhan),134,5,Paddy (Dhan),KERALA
ALAPPUZHA_Papaya,0,1,Papaya,KERALA
ALAPPUZHA_Passion Fruit,0,1,Passion Fruit,KERALA
ALAPPUZHA_Pepper,319,12,Pepper,KERALA
ALAPPUZHA_Pumpkin,0,1,Pumpkin,KERALA
ALAPPUZHA_Ridge Gourd,192,2,Ridge Gourd,KERALA
ALAPPUZHA_Rose,305,60,Rose,KERALA
ALAPPUZHA_Sapota,0,1,Sapota,KERALA
ALAPPUZHA_Snake Gourd,328,3,Snake Gourd,KERALA
ALAPPUZHA_Sponge Gourd,0,1,Sponge Gourd,KERALA
ALAPPUZHA_Sugarcane (Noble Cane),0,1,Sugarcane (Noble Cane),KERALA
ALAPPUZHA_Tapioca (Cassava),0,1,Tapioca (Cassava),KERALA
ALAPPUZHA_Tomato,31,2,Tomato,KERALA
ALAPPUZHA_Turkey,0,1,Turkey,KERALA
ALAPPUZHA_Turmeric,0,1,Turmeric,KERALA
ERNAKULAM_Acid Lime,143,4,Acid Lime,KERALA
ERNAKULAM_African Sarson,0,1,African Sarson,KERALA
ERNAKULAM_Almond,64,2,Almond,KERALA
ERNAKULAM_Aloe Vera,135,2,Aloe Vera,KERALA
ERNAKULAM_Amaranthus/Grain Amaranthus,238,4,Amaranthus/Grain Amaranthus,KERALA
ERNAKULAM_Amarphophallus (Surankand/Elephant Foot Yam),94,3,Amarphophallus (Surankand/Elephant Foot Yam),KERALA
ERNAKULAM_Anthurium,107,3,Anthurium,KERALA
ERNAKULAM_Aonla,0,1,Aonla,KERALA
ERNAKULAM_Arecanut,354,38,Arecanut,KERALA
ERNAKULAM_Ash Gourd (Petha),182,3,Ash Gourd (Petha),KERALA
ERNAKULAM_Avacado,60,2,Avacado,KERALA
ERNAKULAM_Banana,362,126,Banana,KERALA
ERNAKULAM_Beet Root (Garden Beet/Stock Beet),4,2,Beet Root (Garden Beet/Stock Beet),KERALA
ERNAKULAM_Ber,0,2,Ber,KERALA
ERNAKULAM_Betel Vine,0,1,Betel Vine,KERALA
ERNAKULAM_Bhindi(Okra/Ladysfinger),216,20,Bhindi(Okra/Ladysfinger),KERALA
ERNAKULAM_Bitter Gourd,249,8,Bitter Gourd,KERALA
ERNAKULAM_Bottle Gourd,0,1,Bottle Gourd,KERALA
"ERNAKULAM_Bovine(Cow,Buffalo)",250,2,"Bovine(Cow,Buffalo)",KERALA
ERNAKULAM_Brinjal,329,18,Brinjal,KERALA
ERNAKULAM_Carrot,0,1,Carrot,KERALA
ERNAKULAM_Cashew,0,1,Cashew,KERALA
ERNAKULAM_Cauliflower,0,1,Cauliflower,KERALA
ERNAKULAM_Chillies,314,22,Chillies,KERALA
ERNAKULAM_Citrus,83,3,Citrus,KERALA
ERNAKULAM_Cluster Bean,0,2,Cluster Bean,KERALA
ERNAKULAM_Cocoa,167,11,Cocoa,KERALA
ERNAKULAM_Coconut,361,128,Coconut,KERALA
"ERNAKULAM_Colocasia (Arvi, Arbi)",211,4,"Colocasia (Arvi, Arbi)",KERALA
ERNAKULAM_Cowpea (Vegetable),331,62,Cowpea (Vegetable),KERALA
ERNAKULAM_Cucumber,357,23,Cucumber,KERALA
ERNAKULAM_Curry Leaf,304,5,Curry Leaf,KERALA
ERNAKULAM_Custard Apple,112,2,Custard Apple,KERALA
ERNAKULAM_DatePalm,0,1,DatePalm,KERALA
ERNAKULAM_Drum Stick,139,7,Drum Stick,KERALA
ERNAKULAM_Fig,214,3,Fig,KERALA
ERNAKULAM_Ginger,199,6,Ginger,KERALA
ERNAKULAM_Grape,116,3,Grape,KERALA
ERNAKULAM_Greater Yam,0,1,Greater Yam,KERALA
ERNAKULAM_Guava,254,15,Guava,KERALA
