category,crop,issue,resolution_signal,_parse_error,RecordId
Cultural Practices,Cowpea,Field preparation method,resolved,False,0
Weather,Unknown,Weather forecast for crops,unresolved,False,1
Nutrient Management,Unknown,colour change in leaves,resolved,False,2
Nutrient Management,Banana,Nutrient application schedule,resolved,False,3
Weather,Unknown,50% chance for rainfall,resolved,False,4
Weather,Unknown,No rainfall expected,resolved,False,5
Weather,Unknown,50% chance for rainfall,unresolved,False,6
Plant Protection,Pomegranate,Fruit cracking management,resolved,False,7
Other,Unknown,Preparation of fish jaggery mixture,resolved,False,8
Nutrient Management,Rose,Need nutrient management,resolved,False,9
Plant Protection,Coconut,Button shedding,resolved,False,10
Nutrient Management,Banana,Application of AYAR,resolved,False,11
Weather,Unknown,High chance of rainfall,unresolved,False,12
Plant Protection,Brinjal,Management of sooty mold,resolved,False,13
Plant Protection,Mango,Control of Loranthus,resolved,False,14
Nutrient Management,Ginger,Nutrient application schedule,resolved,False,15
Plant Protection,Mango,Fruit dropping,resolved,False,16
Plant Protection,Brinjal,bud dropping management,resolved,False,17
Nutrient Management,Pepper,Dosage of NPK mix,resolved,False,18
Plant Protection,Rose,management of thrips,resolved,False,19
Nutrient Management,Coconut,Potassium deficiency,resolved,False,20
Plant Protection,Curry leaf,leaf eating caterpillar,resolved,False,21
Plant Protection,Chillies,Less flowering,resolved,False,22
Nutrient Management,Banana,Need nutrient management,resolved,False,23
Plant Protection,Unknown,Use of hydrogen peroxide,resolved,False,24
Nutrient Management,Banana,Nutrient deficiency,resolved,False,25
Nutrient Management,Coconut,Nutrient deficiency,resolved,False,26
Market Information,Nutmeg,average yield,unresolved,False,27
Nutrient Management,Teak,nutrient management,resolved,False,28
Nutrient Management,Areca nut,Need nutrient management,resolved,False,29
Plant Protection,Coconut,management of fruit rot,resolved,False,30
Plant Protection,Unknown,Preparation of Bordeux mixture,resolved,False,31
Other,Unknown,Jackfruit seed quality,unresolved,False,32
Plant Protection,Unknown,control of Ants,resolved,False,33
Plant Protection,Cucumber,management of fruit borer,resolved,False,34
Nutrient Management,Nutmeg,Management of immature nut fall,resolved,False,35
Nutrient Management,"Rubber, Coconut, Arecanut",Application of NPK,unresolved,False,36
Nutrient Management,Papaya,Nutrient management,resolved,False,37
Cultural Practices,Papaya,flower and fruit inducing technique,resolved,False,38
Nutrient Management,Unknown,Application of urea and DAP,unresolved,False,39
Nutrient Management,PEPPER,Fertilizer application during flowering,resolved,False,40
Plant Protection,Coconut,management of Wilt disease,resolved,False,41
Weather,Unknown,Weather forecast for agricultural operations,resolved,False,42
Nutrient Management,Arecanut,Fertilizer application,resolved,False,43
Nutrient Management,Coconut,Application of neemcake and bonemeal,resolved,False,44
Nutrient Management,Unknown,Dosage and Expiry of Fertilizers,resolved,False,45
Nutrient Management,Areca nut,Interval for organic manure,resolved,False,46
Nutrient Management,Ginger,Application of lime,resolved,False,47
Plant Protection,Ginger,Preplant treatment,resolved,False,48
Nutrient Management,Coconut,Nutrient application schedule,resolved,False,49
Nutrient Management,Coconut,Mgso4 application,resolved,False,50
Plant Protection,Coconut,management of bud rot,resolved,False,51
Nutrient Management,Coconut,Management of barren nuts,resolved,False,52
Plant Protection,Coconut,management of leaf cutting weevil,resolved,False,53
Plant Protection,Ivy Gourd,Management of Aphids,resolved,False,54
Plant Protection,Mango,leaf webber management,resolved,False,55
Nutrient Management,Arecanut,organic nutrient management,resolved,False,56
Nutrient Management,Arecanut,Nutrient application schedule,resolved,False,57
Nutrient Management,Pepper,Need nutrient management,resolved,False,58
Nutrient Management,Cocoa,Nutrient application schedule,resolved,False,59
Plant Protection,Rambutan,prophylactic measures against fungal diseases,resolved,False,60
Plant Protection,Black pepper,Management of mosaic symptoms,resolved,False,61
