case_id,n_events,n_repeats,loop_rate,crop,state
ALAPPUZHA_Amaranthus/Grain Amaranthus,3,2,0.6666666666666666,Amaranthus/Grain Amaranthus,KERALA
ALAPPUZHA_Arecanut,2,0,0.0,Arecanut,KERALA
ALAPPUZHA_Avacado,1,0,0.0,Avacado,KERALA
ALAPPUZHA_BAJRA NAPIER HYBRID,1,0,0.0,BAJRA NAPIER HYBRID,KERALA
ALAPPUZHA_Banana,31,27,0.8709677419354839,Banana,KERALA
ALAPPUZHA_Betel Vine,1,0,0.0,Betel Vine,KERALA
ALAPPUZHA_Bhindi(Okra/Ladysfinger),9,7,0.7777777777777778,Bhindi(Okra/Ladysfinger),KERALA
ALAPPUZHA_Bitter Gourd,6,3,0.5,Bitter Gourd,KERALA
ALAPPUZHA_Bottle Gourd,1,0,0.0,Bottle Gourd,KERALA
ALAPPUZHA_Brinjal,14,11,0.7857142857142857,Brinjal,KERALA
ALAPPUZHA_Cabbage,2,0,0.0,Cabbage,KERALA
ALAPPUZHA_Capsicum,1,0,0.0,Capsicum,KERALA
ALAPPUZHA_Cauliflower,1,0,0.0,Cauliflower,KERALA
ALAPPUZHA_Chillies,18,14,0.7777777777777778,Chillies,KERALA
ALAPPUZHA_China Astor,1,0,0.0,China Astor,KERALA
ALAPPUZHA_Coconut,46,38,0.8260869565217391,Coconut,KERALA
"ALAPPUZHA_Colocasia (Arvi, Arbi)",4,1,0.25,"Colocasia (Arvi, Arbi)",KERALA
ALAPPUZHA_Cowpea (Vegetable),7,5,0.7142857142857143,Cowpea (Vegetable),KERALA
ALAPPUZHA_Crossandra,1,0,0.0,Crossandra,KERALA
ALAPPUZHA_Cucumber,2,0,0.0,Cucumber,KERALA
ALAPPUZHA_Curry Leaf,5,4,0.8,Curry Leaf,KERALA
ALAPPUZHA_Custard Apple,1,0,0.0,Custard Apple,KERALA
ALAPPUZHA_Drum Stick,1,0,0.0,Drum Stick,KERALA
ALAPPUZHA_Fresh Water,2,0,0.0,Fresh Water,KERALA
ALAPPUZHA_Ginger,4,1,0.25,Ginger,KERALA
ALAPPUZHA_Grape,2,0,0.0,Grape,KERALA
ALAPPUZHA_Groundnut (pea nut/mung phalli),1,0,0.0,Groundnut (pea nut/mung phalli),KERALA
ALAPPUZHA_Guava,8,6,0.75,Guava,KERALA
ALAPPUZHA_Ivy Gourd,2,1,0.5,Ivy Gourd,KERALA
ALAPPUZHA_Jack Fruit,10,7,0.7,Jack Fruit,KERALA
ALAPPUZHA_Jamun,1,0,0.0,Jamun,KERALA
ALAPPUZHA_Jasmine,1,0,0.0,Jasmine,KERALA
ALAPPUZHA_Kokum,4,2,0.5,Kokum,KERALA
ALAPPUZHA_Mango,8,4,0.5,Mango,KERALA
ALAPPUZHA_Neem,1,0,0.0,Neem,KERALA
ALAPPUZHA_Nutmeg,1,0,0.0,Nutmeg,KERALA
ALAPPUZHA_Paddy (Dhan),5,1,0.2,Paddy (Dhan),KERALA
ALAPPUZHA_Papaya,1,0,0.0,Papaya,KERALA
ALAPPUZHA_Passion Fruit,1,0,0.0,Passion Fruit,KERALA
ALAPPUZHA_Pepper,12,8,0.6666666666666666,Pepper,KERALA
ALAPPUZHA_Pumpkin,1,0,0.0,Pumpkin,KERALA
ALAPPUZHA_Ridge Gourd,2,1,0.5,Ridge Gourd,KERALA
ALAPPUZHA_Rose,60,52,0.8666666666666667,Rose,KERALA
ALAPPUZHA_Sapota,1,0,0.0,Sapota,KERALA
ALAPPUZHA_Snake Gourd,3,0,0.0,Snake Gourd,KERALA
ALAPPUZHA_Sponge Gourd,1,0,0.0,Sponge Gourd,KERALA
ALAPPUZHA_Sugarcane (Noble Cane),1,0,0.0,Sugarcane (Noble Cane),KERALA
ALAPPUZHA_Tapioca (Cassava),1,0,0.0,Tapioca (Cassava),KERALA
ALAPPUZHA_Tomato,2,0,0.0,Tomato,KERALA
ALAPPUZHA_Turkey,1,0,0.0,Turkey,KERALA
ALAPPUZHA_Turmeric,1,0,0.0,Turmeric,KERALA
ERNAKULAM_Acid Lime,4,2,0.5,Acid Lime,KERALA
ERNAKULAM_African Sarson,1,0,0.0,African Sarson,KERALA
ERNAKULAM_Almond,2,1,0.5,Almond,KERALA
ERNAKULAM_Aloe Vera,2,0,0.0,Aloe Vera,KERALA
ERNAKULAM_Amaranthus/Grain Amaranthus,4,1,0.25,Amaranthus/Grain Amaranthus,KERALA
ERNAKULAM_Amarphophallus (Surankand/Elephant Foot Yam),3,1,0.3333333333333333,Amarphophallus (Surankand/Elephant Foot Yam),KERALA
ERNAKULAM_Anthurium,3,1,0.3333333333333333,Anthurium,KERALA
ERNAKULAM_Aonla,1,0,0.0,Aonla,KERALA
ERNAKULAM_Arecanut,38,30,0.7894736842105263,Arecanut,KERALA
ERNAKULAM_Ash Gourd (Petha),3,2,0.6666666666666666,Ash Gourd (Petha),KERALA
ERNAKULAM_Avacado,2,0,0.0,Avacado,KERALA
ERNAKULAM_Banana,126,118,0.9365079365079365,Banana,KERALA
ERNAKULAM_Beet Root (Garden Beet/Stock Beet),2,1,0.5,Beet Root (Garden Beet/Stock Beet),KERALA
ERNAKULAM_Ber,2,0,0.0,Ber,KERALA
ERNAKULAM_Betel Vine,1,0,0.0,Betel Vine,KERALA
ERNAKULAM_Bhindi(Okra/Ladysfinger),20,16,0.8,Bhindi(Okra/Ladysfinger),KERALA
ERNAKULAM_Bitter Gourd,8,5,0.625,Bitter Gourd,KERALA
ERNAKULAM_Bottle Gourd,1,0,0.0,Bottle Gourd,KERALA
"ERNAKULAM_Bovine(Cow,Buffalo)",2,0,0.0,"Bovine(Cow,Buffalo)",KERALA
ERNAKULAM_Brinjal,18,15,0.8333333333333334,Brinjal,KERALA
ERNAKULAM_Carrot,1,0,0.0,Carrot,KERALA
ERNAKULAM_Cashew,1,0,0.0,Cashew,KERALA
ERNAKULAM_Cauliflower,1,0,0.0,Cauliflower,KERALA
ERNAKULAM_Chillies,22,19,0.8636363636363636,Chillies,KERALA
ERNAKULAM_Citrus,3,2,0.6666666666666666,Citrus,KERALA
ERNAKULAM_Cluster Bean,2,1,0.5,Cluster Bean,KERALA
ERNAKULAM_Cocoa,11,8,0.7272727272727273,Cocoa,KERALA
ERNAKULAM_Coconut,128,120,0.9375,Coconut,KERALA
"ERNAKULAM_Colocasia (Arvi, Arbi)",4,1,0.25,"Colocasia (Arvi, Arbi)",KERALA
ERNAKULAM_Cowpea (Vegetable),62,58,0.9354838709677419,Cowpea (Vegetable),KERALA
ERNAKULAM_Cucumber,23,18,0.782608695652174,Cucumber,KERALA
ERNAKULAM_Curry Leaf,5,3,0.6,Curry Leaf,KERALA
ERNAKULAM_Custard Apple,2,0,0.0,Custard Apple,KERALA
ERNAKULAM_DatePalm,1,0,0.0,DatePalm,KERALA
ERNAKULAM_Drum Stick,7,3,0.42857142857142855,Drum Stick,KERALA
ERNAKULAM_Fig,3,0,0.0,Fig,KERALA
ERNAKULAM_Ginger,6,1,0.16666666666666666,Ginger,KERALA
ERNAKULAM_Grape,3,1,0.3333333333333333,Grape,KERALA
ERNAKULAM_Greater Yam,1,0,0.0,Greater Yam,KERALA
ERNAKULAM_Guava,15,9,0.6,Guava,KERALA
ERNAKULAM_Indian Bean (Vegetable),2,0,0.0,Indian Bean (Vegetable),KERALA
ERNAKULAM_Ivy Gourd,5,2,0.4,Ivy Gourd,KERALA
ERNAKULAM_Jack Fruit,14,10,0.7142857142857143,Jack Fruit,KERALA
ERNAKULAM_Jamun,1,0,0.0,Jamun,KERALA
