BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year,QueryType_raw,mismatch_score,is_mismatch
KAZHAKUTTAM,Vegetables,2024-05-01 11:00:00.863,Cowpea (Vegetable),TRIVANDRUM,1045461,The seeds are either broadcasted or dibbled in the soil. Dibble two seeds per hole. In trailing type ensure three good plants per pit.,Asked about field preparation in cowpea,Field Preparation,,HORTICULTURE,KERALA,1,5,2024,Field Preparation,1.0,True
KAZHAKUTTAM,Others,2024-05-01 12:00:17.160,Others,TRIVANDRUM,1045457,Suggested Weather forecast for Kazhakoottam- There is no chances for rainfall today and in the next three days but partly cloudy weather will remain for today and tomorrow. Today's expected maximum temperature is  37°C and minimum temperature of 29°C and wind speed is likely to run at  19 kilometres per hour.,Farmer asked query on Weather,Weather,,AGRICULTURE,KERALA,1,5,2024,Weather,0.9408354836258069,True
PARASSALA,Vegetables,2024-05-02 19:34:45.167,Bhindi(Okra/Ladysfinger),TRIVANDRUM,1052740,Suggested to spray calcium nitrate 2g and Borax 1g in 1L Water.,Asked about the management of colour change in growing points of younger leaves,Nutrient Management,,HORTICULTURE,KERALA,2,5,2024,Nutrient Management,1.0,True
KAZHAKUTTAM,Fruits,2024-05-27 19:50:28.027,Banana,TRIVANDRUM,1222151,"The first split has to applied in 2 months after planting. The urea-195g, rock phosphate-500g, Muriate of Potash-300g per plant.The second dose has to apply in 4 months after planting and the dosage is 195 gram urea, 490 gram rock phosphate, 300 gram Muriate of Potash respectively.Lime  has to be applied in acid soils two weeks ahead of fertilizer application.",Asked about nutrient management of banana,Nutrient Management,,HORTICULTURE,KERALA,27,5,2024,Nutrient Management,1.0,True
KAZHAKUTTAM,Others,2024-05-28 06:06:30.010,Others,TRIVANDRUM,1226058,Weather forecast Kazhakootam - There is 50% chance for rainfall today . Today's expected maximum temperature is  29°C and minimum temperature of 26°C and wind speed is likely to run at 23 kilometres per hour. Schedule the agricultural operations as per the weather forecast,Farmer asked query on Weather,Weather,,AGRICULTURE,KERALA,28,5,2024,Weather,0.9373963978804363,True
KAZHAKUTTAM,Others,2024-05-31 15:31:25.553,Others,TRIVANDRUM,1242844,"Weather forecast for Kazhakkoottam, Kerala- There are no possibility for rainfall in Today. Tomorrow's expected maximum temperature is 31oC and minimum temperature is 27oC. Wind speed is likely to run at 21 km/hr. Schedule the agricultural operations as per the weather forecast",Farmer asked query on Weather,Weather,,AGRICULTURE,KERALA,31,5,2024,Weather,0.9464699465568159,True
ERATTUPETTA,Others,2024-05-01 19:01:46.717,Others,KOTTAYAM,1047671,there is 50%chance for rainfall today,Farmer asked query on Weather,Weather,,AGRICULTURE,KERALA,1,5,2024,Weather,1.0,True
VAIKOM,Fruits,2024-05-04 08:21:46.023,Pomegranate,KOTTAYAM,1061791,Suggested to spray borax @ 2g per litre water.,Asked about management of fruit cracking in pomegranate,Plant Protection,,HORTICULTURE,KERALA,4,5,2024,Plant Protection,1.0,True
VAIKOM,Fruits,2024-05-04 08:28:32.953,Pomegranate,KOTTAYAM,1061792,"The ingredients for preparation of fish jaggery mixture are sardine 1 kg and jaggery 1 kg. Take 1 kg sardine and slice it into small pieces. Take 1 kg Jaggery and also slice it into small pieces. Add both into an air tight plastic jar of sufficient size in layers. While adding, take care to have a jaggery layer at the top. Do not add water. Keep it airtight and away from direct sun light for about 30-40 days.
1 kg sardine and 1 kg Jaggery will give about 1.5 liters of fish jiggery mixture. Filter the extract and use it. It can be stored up to 3 months. Apply 5-10 ml/liter of water as growth promoter.",Asked about preparation of fish jaggery mixture,Organic Farming,,HORTICULTURE,KERALA,4,5,2024,Organic Farming,0.6705099889266306,True
ETTUMANOOR,Flowers,2024-05-05 19:27:26.823,Rose,KOTTAYAM,1068491,Suggested to apply DAP granules of 2-6 per plant.,Asked about the nutrient management for Rose.,Nutrient Management,,HORTICULTURE,KERALA,5,5,2024,Nutrient Management,1.0,True
