crop,mean_loop_rate,mean_duration_days,n_cases
Coconut,0.8598695202849412,341.2857142857143,14
Banana,0.8468949820421825,336.2857142857143,14
Cowpea (Vegetable),0.6883995900412951,250.28571428571428,14
Mango,0.6881291860554534,295.42857142857144,14
Chillies,0.6733305772902046,288.7857142857143,14
Arecanut,0.5646068560249361,256.7142857142857,14
Pepper,0.5551792761084247,261.85714285714283,14
Jack Fruit,0.5131959475709476,252.33333333333334,12
Bhindi(Okra/Ladysfinger),0.5011599511599512,190.6153846153846,13
Rubber,0.5007575757575757,211.54545454545453,11
Almond,0.5,64.0,1
Garlic,0.5,0.0,1
Beet Root (Garden Beet/Stock Beet),0.5,4.0,1
Beans,0.5,136.0,1
Nutmeg,0.4825410382858691,191.0,14
Brinjal,0.47841047841047846,215.23076923076923,13
Cluster Bean,0.4642857142857143,144.5,2
Guava,0.4351851851851852,165.55555555555554,9
Tapioca (Cassava),0.425030525030525,191.07692307692307,13
Bitter Gourd,0.41641156462585033,193.28571428571428,14
Ivy Gourd,0.4111111111111111,207.88888888888889,9
Tomato,0.4087301587301587,162.0,14
Paddy (Dhan),0.4028619990131038,174.71428571428572,14
Ginger,0.398015873015873,186.14285714285714,14
Curry Leaf,0.39629629629629626,102.44444444444444,9
Watermelon,0.3958333333333333,47.75,4
Papaya,0.38980568451156683,210.7,10
Citrus,0.37777777777777777,74.83333333333333,6
Cashew,0.36666666666666664,78.4,5
Duck,0.3333333333333333,140.0,1
Cucumber,0.3300983436853002,186.5,12
Pumpkin,0.3214285714285714,163.0,8
Amaranthus/Grain Amaranthus,0.31776556776556775,156.53846153846155,13
Cardamom,0.3106060606060606,149.75,4
Ash Gourd (Petha),0.2959183673469387,134.71428571428572,7
Cocoa,0.28810835629017445,103.81818181818181,11
Rose,0.275,99.75,8
Hibiscus (Gurhal),0.25,25.25,4
Ridge Gourd,0.25,78.75,4
Apple,0.25,10.5,2
Ber,0.2222222222222222,2.0,3
Jasmine,0.21428571428571427,71.0,6
Teak,0.2,106.2,5
Drum Stick,0.19805194805194806,45.63636363636363,11
Turmeric,0.18560606060606058,72.18181818181819,11
"Colocasia (Arvi, Arbi)",0.18518518518518517,68.55555555555556,9
Lemon,0.16666666666666666,80.28571428571429,7
