case_id,variant,crop,state,season
ALAPPUZHA_Amaranthus/Grain Amaranthus,Plant Protection -> Plant Protection -> Plant Protection,Amaranthus/Grain Amaranthus,KERALA,
ALAPPUZHA_Arecanut,Nutrient Management -> Cultural Practices,Arecanut,KERALA,
ALAPPUZHA_Avacado,Nutrient Management,Avacado,KERALA,
ALAPPUZHA_BAJRA NAPIER HYBRID,Seeds,BAJRA NAPIER HYBRID,KERALA,
ALAPPUZHA_Banana,Nutrient Management -> Plant Protection -> Field Preparation -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Seeds and Planting Material -> Nutrient Management,Banana,KERALA,
ALAPPUZHA_Betel Vine,Plant Protection,Betel Vine,KERALA,
ALAPPUZHA_Bhindi(Okra/Ladysfinger),Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection,Bhindi(Okra/Ladysfinger),KERALA,
ALAPPUZHA_Bitter Gourd,Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Seeds and Planting Material -> Plant Protection,Bitter Gourd,KERALA,
ALAPPUZHA_Bottle Gourd,Plant Protection,Bottle Gourd,KERALA,
ALAPPUZHA_Brinjal,Nutrient Management -> Plant Protection -> Cultural Practices -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection,Brinjal,KERALA,
ALAPPUZHA_Cabbage,Nutrient Management -> Cultural Practices,Cabbage,KERALA,
ALAPPUZHA_Capsicum,Plant Protection,Capsicum,KERALA,
ALAPPUZHA_Cauliflower,Cultural Practices,Cauliflower,KERALA,
ALAPPUZHA_Chillies,Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Cultural Practices -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Organic Farming -> Plant Protection -> Plant Protection -> Organic Farming -> Plant Protection -> Cultural Practices -> Cultural Practices,Chillies,KERALA,
ALAPPUZHA_China Astor,Plant Protection,China Astor,KERALA,
ALAPPUZHA_Coconut,"Plant Protection -> Agriculture Mechanization -> Seeds and Planting Material -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Market Information -> Market Information -> Plant Protection -> Plant Protection -> Plant Protection -> Seeds and Planting Material -> Nutrient Management -> Plant Protection -> Cultural Practices -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Plant Protection -> Nutrient Management -> Fertilizer Use and Availability -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection -> Nutrient Management -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management -> Water Management, Micro Irrigation -> Nutrient Management -> Seeds and Planting Material -> Nutrient Management -> Plant Protection",Coconut,KERALA,
"ALAPPUZHA_Colocasia (Arvi, Arbi)",Cultural Practices -> Nutrient Management -> Seeds and Planting Material -> Seeds and Planting Material,"Colocasia (Arvi, Arbi)",KERALA,
ALAPPUZHA_Cowpea (Vegetable),Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection,Cowpea (Vegetable),KERALA,
ALAPPUZHA_Crossandra,Nutrient Management,Crossandra,KERALA,
ALAPPUZHA_Cucumber,Nutrient Management -> Plant Protection,Cucumber,KERALA,
ALAPPUZHA_Curry Leaf,Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection,Curry Leaf,KERALA,
ALAPPUZHA_Custard Apple,Nutrient Management,Custard Apple,KERALA,
ALAPPUZHA_Drum Stick,Nutrient Management,Drum Stick,KERALA,
ALAPPUZHA_Fresh Water,"Fish Fingerling Production -> Tank, Pond and Reservoir Management",Fresh Water,KERALA,
ALAPPUZHA_Ginger,Nutrient Management -> Nutrient Management -> Field Preparation -> Plant Protection,Ginger,KERALA,
ALAPPUZHA_Grape,Nutrient Management -> Plant Protection,Grape,KERALA,
ALAPPUZHA_Groundnut (pea nut/mung phalli),Nutrient Management,Groundnut (pea nut/mung phalli),KERALA,
ALAPPUZHA_Guava,Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Nutrient Management,Guava,KERALA,
ALAPPUZHA_Ivy Gourd,Nutrient Management -> Nutrient Management,Ivy Gourd,KERALA,
ALAPPUZHA_Jack Fruit,Plant Protection -> Plant Protection -> Nutrient Management -> Agriculture Mechanization -> Plant Protection -> Nutrient Management -> Plant Protection -> Plant Protection -> Plant Protection -> Plant Protection,Jack Fruit,KERALA,
ALAPPUZHA_Jamun,Plant Protection,Jamun,KERALA,
ALAPPUZHA_Jasmine,Cultural Practices,Jasmine,KERALA,
ALAPPUZHA_Kokum,Nutrient Management -> Nutrient Management -> Nutrient Management -> Plant Protection,Kokum,KERALA,
ALAPPUZHA_Mango,Plant Protection -> Nutrient Management -> Field Preparation -> Plant Protection -> Seeds and Planting Material -> Plant Protection -> Plant Protection -> Plant Protection,Mango,KERALA,
ALAPPUZHA_Neem,Nutrient Management,Neem,KERALA,
ALAPPUZHA_Nutmeg,Nutrient Management,Nutmeg,KERALA,
ALAPPUZHA_Paddy (Dhan),Seeds -> Plant Protection -> Plant Protection -> Cultural Practices -> Weed Management,Paddy (Dhan),KERALA,
ALAPPUZHA_Papaya,Nutrient Management,Papaya,KERALA,
ALAPPUZHA_Passion Fruit,Nutrient Management,Passion Fruit,KERALA,
